feature,ks_statistic,p_value
sensor_source,0.653276955602537,1.5604873789938703e-57
weather,0.013636363636363636,1.0
vehicle_type,0.06806553911205074,0.505943426154894
speed_bin,0.03173361522198732,0.9978706196196134
road_type,0.063446088794926,0.5952142725974621
time_of_day,0.04581395348837209,0.9127333653764852
firmware_version,0.03443974630021142,0.9936888055942881
calibration_status,0.0745877378435518,0.3909776746082058
network_type,0.0390169133192389,0.9757436482211473
device_model,0.012505285412262156,1.0
