feature,ks_statistic,p_value
x_mean,0.42283298097251587,4.134064255593267e-23
x_std,0.653276955602537,1.5604873789938703e-57
x_max,0.6511627906976745,3.988999673016011e-57
x_min,0.6617336152219874,3.489472633633346e-59
x_range,0.653276955602537,1.5604873789938703e-57
x_skew,0.2937103594080338,3.265706363032538e-11
x_kurtosis,0.48264270613107824,2.77504710919206e-30
x_n_peaks,0.19297040169133192,4.6018047130588934e-05
x_energy,0.653276955602537,1.5604873789938703e-57
y_mean,0.4770295983086681,1.4460301913509041e-29
y_std,0.6553911205073996,6.076577965293465e-58
y_max,0.653276955602537,1.5604873789938703e-57
y_min,0.653276955602537,1.5604873789938703e-57
y_range,0.6553911205073996,6.076577965293465e-58
y_skew,0.3292071881606765,5.1351349852832186e-14
y_kurtosis,0.5341860465116279,2.16170352583078e-37
y_n_peaks,0.5452536997885835,4.789849806308027e-39
y_energy,0.6553911205073996,6.076577965293465e-58
z_mean,0.3895771670190275,1.3673946845736946e-19
z_std,0.6575052854122622,2.3553163160453293e-58
z_max,0.6363636363636364,2.5068180066942658e-54
z_min,0.5348837209302325,1.6777391660112626e-37
z_range,0.6575052854122622,2.3553163160453293e-58
z_skew,0.29746300211416493,1.7204121583520317e-11
z_kurtosis,0.33881606765327693,7.803412440770094e-15
z_n_peaks,0.04807610993657505,0.8814841442130343
z_energy,0.39380549682875265,5.086829600063263e-20
mag_mean,0.47568710359408034,2.1458185626511252e-29
mag_std,0.653276955602537,1.5604873789938703e-57
mag_max,0.653276955602537,1.5604873789938703e-57
max_delta_mag,0.6596194503171248,9.086983606021276e-59
sudden_change_score,0.21985200845665961,1.906516771253347e-06
x_fft_max,0.653276955602537,1.5604873789938703e-57
x_fft_mean,0.653276955602537,1.5604873789938703e-57
y_fft_max,0.6638477801268499,1.3337021914564807e-59
y_fft_mean,0.653276955602537,1.5604873789938703e-57
z_fft_max,0.3895771670190275,1.3673946845736946e-19
z_fft_mean,0.6575052854122622,2.3553163160453293e-58
xy_corr,0.45847780126849896,2.9179283117181092e-27
xz_corr,0.38404862579281185,4.8683758142992e-19
yz_corr,0.5022727272727273,6.920432723389382e-33
